Model,bleu-best(0-shot),bleu-correct(0-shot),bleu-incorrect(0-shot),rouge-1-f(0-shot),rouge-1-p(0-shot),rouge-1-r(0-shot),rouge-2-f(0-shot),rouge-2-p(0-shot),rouge-2-r(0-shot),rouge-3-f(0-shot),rouge-3-p(0-shot),rouge-3-r(0-shot),rouge-4-f(0-shot),rouge-4-p(0-shot),rouge-4-r(0-shot),rouge-l-f(0-shot),rouge-l-p(0-shot),rouge-l-r(0-shot),rouge-w-1.2-f(0-shot),rouge-w-1.2-p(0-shot),rouge-w-1.2-r(0-shot),rouge-s4-f(0-shot),rouge-s4-p(0-shot),rouge-s4-r(0-shot),rouge-su4-f(0-shot),rouge-su4-p(0-shot),rouge-su4-r(0-shot),bleu-best(5-shot),bleu-correct(5-shot),bleu-incorrect(5-shot),rouge-1-f(5-shot),rouge-1-p(5-shot),rouge-1-r(5-shot),rouge-2-f(5-shot),rouge-2-p(5-shot),rouge-2-r(5-shot),rouge-3-f(5-shot),rouge-3-p(5-shot),rouge-3-r(5-shot),rouge-4-f(5-shot),rouge-4-p(5-shot),rouge-4-r(5-shot),rouge-l-f(5-shot),rouge-l-p(5-shot),rouge-l-r(5-shot),rouge-w-1.2-f(5-shot),rouge-w-1.2-p(5-shot),rouge-w-1.2-r(5-shot),rouge-s4-f(5-shot),rouge-s4-p(5-shot),rouge-s4-r(5-shot),rouge-su4-f(5-shot),rouge-su4-p(5-shot),rouge-su4-r(5-shot)
internlm2-7b-hf,0.0650993190,0.1021105985,0.0792733690,0.1661805339,0.1766458320,0.2423897944,0.0725362114,0.0806480405,0.1009004047,0.0373173761,0.0418581900,0.0493842578,0.0211357784,0.0247979117,0.0264530215,0.1660579095,0.1765204833,0.2422453720,0.1293611662,0.1483770583,0.1772661590,0.0516726385,0.0628946180,0.0741244637,0.0717644062,0.0861847136,0.1059066573,0.0558159577,0.0728937023,0.0472625904,0.1102724304,0.1132197222,0.1726979652,0.0563754730,0.0575642807,0.0832667203,0.0339371064,0.0352883965,0.0471950879,0.0208334118,0.0211216176,0.0277504989,0.1101685644,0.1131241510,0.1725702817,0.0841021966,0.0933976153,0.1239764195,0.0438168200,0.0464923517,0.0643952943,0.0562487368,0.0605877208,0.0859490435
llama-3_1-8b-instruct-hf,0.0819221082,0.1033120939,0.0872007265,0.1383867954,0.0950153031,0.5376382675,0.0617492119,0.0420013913,0.2511507704,0.0324634403,0.0220481792,0.1352020532,0.0181905505,0.0122683349,0.0774070085,0.1381980946,0.0948525542,0.5372472646,0.1023650984,0.0728194775,0.3601026228,0.0459394110,0.0312165787,0.2108066921,0.0608656708,0.0417356957,0.2730768740,0.1193241725,0.1520416182,0.1073092353,0.2618946062,0.2071910917,0.4683875334,0.1255822950,0.0992307640,0.2281004210,0.0701380457,0.0558090592,0.1288085327,0.0415448671,0.0328125483,0.0778503515,0.2617661371,0.2070905891,0.4681445209,0.1941625569,0.1615335514,0.3197429413,0.0940698746,0.0737412153,0.1845329185,0.1228454195,0.0967017923,0.2390921301
internlm-7b-turbomind,0.0525858186,0.0670747790,0.0590599663,0.0381708227,0.0276969467,0.3095170814,0.0178276724,0.0126711771,0.1357389352,0.0094762831,0.0068477520,0.0682580456,0.0052195729,0.0037819894,0.0362307955,0.0381351658,0.0276713563,0.3091175900,0.0292514598,0.0223033788,0.2217916768,0.0122784810,0.0086552133,0.1029705399,0.0165255924,0.0117461368,0.1421086569,0.0540114352,0.0630763920,0.0554210670,0.0160796353,0.0085795156,0.3529683613,0.0052623104,0.0027391482,0.1548328421,0.0024145381,0.0012450844,0.0807723702,0.0012604597,0.0006469395,0.0464181752,0.0160527263,0.0085646655,0.3525409792,0.0125144260,0.0067214698,0.2500060990,0.0034347341,0.0017805581,0.1172917553,0.0054443913,0.0028523618,0.1653015709
internlm2_5-20b-turbomind,0.0875472530,0.1155432919,0.0949037403,0.1656103213,0.1198290950,0.5018512349,0.0782986562,0.0588163840,0.2306323648,0.0420476649,0.0325258338,0.1197411478,0.0241464986,0.0187365128,0.0668260840,0.1655137404,0.1197516942,0.5016050242,0.1232289642,0.0931288893,0.3407966740,0.0555712012,0.0430257536,0.1790704527,0.0736368623,0.0557718023,0.2404164402,0.1196700731,0.1560891987,0.1144796002,0.2495472984,0.2145021102,0.4556598256,0.1275747828,0.1119802371,0.2234113942,0.0733336010,0.0655055831,0.1253126447,0.0444587340,0.0402015621,0.0760472746,0.2493505575,0.2143053887,0.4553350084,0.1856213639,0.1689049846,0.3121093714,0.0955740022,0.0855227489,0.1756501378,0.1223846674,0.1087316911,0.2288336324
internlm2_5-7b-hf,0.0823985766,0.1052538472,0.0895536515,0.1446849882,0.1030374826,0.4856747535,0.0655072396,0.0471507170,0.2203450712,0.0344928177,0.0248932436,0.1151623462,0.0192643265,0.0139535969,0.0635360116,0.1445743321,0.1029741161,0.4850585942,0.1070838753,0.0788262036,0.3304069937,0.0470051209,0.0336653963,0.1753072798,0.0629599997,0.0450528099,0.2344804806,0.1102490971,0.1407900228,0.1024921038,0.2231861982,0.1838304864,0.4389545935,0.1088399722,0.0912834786,0.2042204994,0.0623114154,0.0531077009,0.1116065022,0.0365255710,0.0316213084,0.0634830505,0.2230345900,0.1837069054,0.4386998060,0.1658086070,0.1436229622,0.3013712337,0.0823811072,0.0697977613,0.1605995219,0.1066067636,0.0895997763,0.2136078653
gpt-4,0.0997053915,0.1344577554,0.1044639940,0.1947962207,0.1457730037,0.5806582747,0.0973780121,0.0748085540,0.2827044678,0.0548015337,0.0435339611,0.1539094902,0.0320269112,0.0263739505,0.0868936565,0.1947233993,0.1457149945,0.5804728294,0.1422396072,0.1111311384,0.3842150743,0.0728974092,0.0570697232,0.2274388813,0.0930839254,0.0719087648,0.2944526902,0.1286954759,0.1674297006,0.1148478596,0.2844383340,0.2337174414,0.5276839994,0.1470972449,0.1235227189,0.2618701292,0.0863379310,0.0751030574,0.1472394072,0.0515784156,0.0448226635,0.0868238904,0.2843478514,0.2336413912,0.5275091124,0.2082393782,0.1814774199,0.3524938180,0.1102428191,0.0946899237,0.2042079445,0.1402176285,0.1197848527,0.2651038955
llama-3-8b-hf,0.0513942018,0.0598927065,0.0554013377,0.0202526790,0.0158057740,0.3349430520,0.0092655338,0.0071798841,0.1522767659,0.0051430734,0.0041109181,0.0797556756,0.0029096491,0.0022192529,0.0445637196,0.0201938954,0.0157523309,0.3345375482,0.0156268901,0.0128373556,0.2365109458,0.0066863067,0.0052254892,0.1184427778,0.0089699418,0.0070428537,0.1609801730,0.0501880116,0.0605004338,0.0521278398,0.0124520429,0.0072348104,0.3021070952,0.0049895463,0.0030152850,0.1271805125,0.0026126059,0.0016255371,0.0655243985,0.0015589145,0.0009989950,0.0371500325,0.0124412961,0.0072293384,0.3017486197,0.0097611718,0.0057366184,0.2171119220,0.0035014251,0.0021505900,0.0948561360,0.0049591779,0.0029766874,0.1372114438
internlm-7b-hf,0.0538856164,0.0665096552,0.0588729512,0.0368264205,0.0258623151,0.3131991576,0.0170073896,0.0118016562,0.1370714691,0.0089158830,0.0060692454,0.0702875184,0.0048928611,0.0032663267,0.0363724645,0.0368027647,0.0258465605,0.3129626869,0.0281761975,0.0205901301,0.2239302736,0.0114848856,0.0078184474,0.1026671821,0.0156815332,0.0108801883,0.1423528987,0.0541674975,0.0637657817,0.0558395764,0.0167057435,0.0092465945,0.3557016284,0.0057217568,0.0029870874,0.1591053364,0.0027090665,0.0014051910,0.0849543315,0.0014071177,0.0007266988,0.0492245901,0.0166948083,0.0092410061,0.3553635768,0.0130341786,0.0073694623,0.2521195156,0.0037557904,0.0019519834,0.1209131511,0.0057847938,0.0030288469,0.1688964616
llama-3-8b-instruct-hf,0.0726141879,0.0867765136,0.0769427231,0.0843525799,0.0485749475,0.5436247556,0.0372888116,0.0212717461,0.2493588834,0.0196894066,0.0112559325,0.1325702250,0.0109602811,0.0062872806,0.0740424418,0.0840362976,0.0483908529,0.5421397166,0.0622522633,0.0364687566,0.3629706066,0.0274148441,0.0154806755,0.2072698547,0.0364095257,0.0206725210,0.2723682937,0.1293453677,0.1643366176,0.1102627905,0.2869197378,0.2403674668,0.4479216104,0.1412924402,0.1176277969,0.2237108027,0.0796853697,0.0665116767,0.1276420079,0.0474928225,0.0393720135,0.0774791584,0.2868041994,0.2402723923,0.4477191275,0.2132605791,0.1889432481,0.3070235274,0.1078083300,0.0895079831,0.1790913650,0.1399578753,0.1172894585,0.2314584019
qwen2-7b-hf,0.0799855911,0.1000238819,0.0838341989,0.1328428923,0.0886714009,0.5402801864,0.0589564961,0.0406894644,0.2354396575,0.0298414783,0.0211428261,0.1161234931,0.0164795976,0.0120263688,0.0622462109,0.1327212288,0.0885936923,0.5397878342,0.0984944475,0.0678261985,0.3633956646,0.0404304458,0.0280985687,0.1791001091,0.0552785585,0.0379216992,0.2482857033,0.0908626302,0.1147839192,0.0837706671,0.1691197321,0.1237743789,0.5477528970,0.0800644200,0.0601853305,0.2530187352,0.0452298797,0.0353693640,0.1360973816,0.0272251614,0.0217583498,0.0794403571,0.1690555221,0.1237365228,0.5475170718,0.1253695855,0.0967805187,0.3664196282,0.0591940763,0.0456083021,0.2011547872,0.0776735362,0.0596179638,0.2673919395
internlm2_5-20b-chat-turbomind,0.0654875089,0.0772791481,0.0695899694,0.0605600929,0.0327662059,0.5915530453,0.0261506556,0.0141808923,0.2642204088,0.0126905285,0.0069073754,0.1340068936,0.0067727272,0.0036910869,0.0746049361,0.0604891096,0.0327283671,0.5907486982,0.0443571080,0.0241993154,0.3934630148,0.0181052929,0.0097770524,0.2097607212,0.0245909559,0.0132551619,0.2830715298,0.0805688406,0.0991372612,0.0823018277,0.1306091061,0.0798877026,0.5848891027,0.0596008436,0.0370237670,0.2728390862,0.0312707054,0.0197072250,0.1461562459,0.0177679390,0.0113407620,0.0842456559,0.1304897732,0.0798175246,0.5843584907,0.0949580876,0.0593374853,0.3889146119,0.0432610293,0.0267089279,0.2208581431,0.0570215696,0.0349720699,0.2904421140
llama-3-70b-instruct-hf,0.0769982077,0.0950451786,0.0811883769,0.1099716269,0.0665002703,0.5452421526,0.0500445808,0.0302500844,0.2551723511,0.0261533522,0.0159147065,0.1351747783,0.0146463622,0.0090065508,0.0749251276,0.1097642124,0.0663748825,0.5441926180,0.0807396772,0.0499180529,0.3631336704,0.0366183212,0.0219028078,0.2100102428,0.0484085109,0.0290191325,0.2751399973,0.1468291761,0.1931168334,0.1210963445,0.3307319347,0.2946261318,0.4406290936,0.1648477897,0.1466032873,0.2200480420,0.0945669366,0.0845579612,0.1263085498,0.0579025062,0.0519939905,0.0772607443,0.3306071317,0.2945178125,0.4404717705,0.2440975795,0.2306442027,0.3018539388,0.1261028778,0.1127634242,0.1747806020,0.1626932020,0.1461216893,0.2253188156
