Model,Translation Type,Shot Type,BLEU,rouge-1-f,rouge-1-p,rouge-1-r,rouge-2-f,rouge-2-p,rouge-2-r,rouge-3-f,rouge-3-p,rouge-3-r,rouge-4-f,rouge-4-p,rouge-4-r,rouge-l-f,rouge-l-p,rouge-l-r,rouge-w-1.2-f,rouge-w-1.2-p,rouge-w-1.2-r,rouge-s4-f,rouge-s4-p,rouge-s4-r,rouge-su4-f,rouge-su4-p,rouge-su4-r
internlm-7b-turbomind,zh-yue,0-shot,0.0642,0.0427,0.0302,0.4350,0.0206,0.0148,0.2249,0.0108,0.0062,0.1240,0.0062,0.0036,0.0710,0.0426,0.0302,0.4346,0.0255,0.0200,0.2357,0.0186,0.0126,0.2167,0.0226,0.0166,0.2537
internlm-7b-turbomind,zh-yue,5-shot,0.1225,0.1334,0.0939,0.8605,0.1053,0.0746,0.6798,0.0857,0.0607,0.5590,0.0701,0.0496,0.4630,0.1333,0.0939,0.8602,0.0726,0.0525,0.4353,0.1014,0.0719,0.6711,0.1066,0.0755,0.7035
ChatGPT,en-yue,0-shot,0.3320,0.7081,0.7120,0.7091,0.4452,0.4478,0.4458,0.2999,0.3017,0.3002,0.2075,0.2088,0.2076,0.7078,0.7117,0.7089,0.3209,0.3371,0.3082,0.4284,0.4308,0.4292,0.4752,0.4778,0.4760
ChatGPT,en-yue,5-shot,0.3678,0.7305,0.7313,0.7333,0.4804,0.4811,0.4821,0.3367,0.3373,0.3378,0.2405,0.2410,0.2411,0.7302,0.7310,0.7330,0.3305,0.3457,0.3181,0.4621,0.4627,0.4639,0.5071,0.5077,0.5091
ChatGPT,zh-yue,0-shot,0.6802,0.8648,0.8634,0.8674,0.7498,0.7487,0.7518,0.6581,0.6573,0.6598,0.5825,0.5819,0.5838,0.8647,0.8633,0.8673,0.4585,0.4808,0.4387,0.7395,0.7385,0.7415,0.7609,0.7598,0.7631
ChatGPT,zh-yue,5-shot,0.7362,0.8746,0.8501,0.9010,0.7858,0.7636,0.8098,0.7136,0.6932,0.7357,0.6508,0.6319,0.6711,0.8746,0.8501,0.9010,0.4624,0.4715,0.4540,0.7786,0.7559,0.8032,0.7950,0.7719,0.8200
internlm2_5-20b-turbomind,en-yue,0-shot,0.1796,0.4893,0.4484,0.5779,0.2441,0.2205,0.2951,0.1378,0.1228,0.1701,0.0826,0.0725,0.1042,0.4889,0.4481,0.5773,0.2293,0.2191,0.2571,0.2385,0.2152,0.2896,0.2802,0.2540,0.3377
internlm2_5-20b-turbomind,en-yue,5-shot,0.3597,0.6853,0.6874,0.7295,0.4511,0.4526,0.4787,0.3191,0.3202,0.3378,0.2295,0.2302,0.2430,0.6851,0.6872,0.7292,0.3105,0.3254,0.3164,0.4346,0.4359,0.4618,0.4766,0.4780,0.5066
internlm2_5-20b-turbomind,zh-yue,0-shot,0.4632,0.6586,0.6218,0.7799,0.5350,0.5059,0.6242,0.4423,0.4186,0.5138,0.3707,0.3513,0.4291,0.6586,0.6218,0.7799,0.3524,0.3477,0.3986,0.5223,0.4936,0.6124,0.5453,0.5152,0.6410
internlm2_5-20b-turbomind,zh-yue,5-shot,0.6066,0.7644,0.7367,0.8916,0.6717,0.6473,0.7832,0.5954,0.5736,0.6953,0.5307,0.5112,0.6209,0.7644,0.7367,0.8916,0.4045,0.4084,0.4496,0.6636,0.6391,0.7740,0.6807,0.6556,0.7941
SenseChat,en-yue,0-shot,0.3391,0.6700,0.6735,0.6727,0.4343,0.4365,0.4365,0.2996,0.3011,0.3013,0.2129,0.2140,0.2141,0.6695,0.6730,0.6722,0.3037,0.3190,0.2926,0.4160,0.4183,0.4177,0.4585,0.4610,0.4604
SenseChat,en-yue,5-shot,0.3904,0.7407,0.7461,0.7394,0.4966,0.5005,0.4956,0.3537,0.3567,0.3529,0.2573,0.2595,0.2567,0.7402,0.7456,0.7389,0.3344,0.3520,0.3202,0.4746,0.4783,0.4737,0.5192,0.5231,0.5182
SenseChat,zh-yue,0-shot,0.7278,0.8892,0.8914,0.8902,0.7860,0.7882,0.7857,0.7036,0.7057,0.7024,0.6331,0.6352,0.6318,0.8892,0.8914,0.8902,0.4710,0.4960,0.4500,0.7760,0.7783,0.7754,0.7954,0.7976,0.7950
SenseChat,zh-yue,5-shot,0.7765,0.9095,0.9112,0.9087,0.8186,0.8204,0.8176,0.7431,0.7449,0.7420,0.6765,0.6783,0.6752,0.9094,0.9110,0.9085,0.4800,0.5052,0.4577,0.8100,0.8119,0.8090,0.8271,0.8289,0.8261
internlm2_5-7b-hf,en-yue,0-shot,0.1215,0.2978,0.2720,0.4047,0.1254,0.1135,0.1740,0.0599,0.0540,0.0846,0.0288,0.0258,0.0415,0.2976,0.2718,0.4044,0.1431,0.1361,0.1854,0.1198,0.1087,0.1652,0.1494,0.1359,0.2051
internlm2_5-7b-hf,en-yue,5-shot,0.0604,0.1439,0.1473,0.1433,0.0803,0.0824,0.0799,0.0499,0.0513,0.0496,0.0322,0.0331,0.0319,0.1438,0.1473,0.1433,0.0663,0.0712,0.0632,0.0760,0.0779,0.0757,0.0873,0.0895,0.0870
internlm2_5-7b-hf,zh-yue,0-shot,0.2225,0.5104,0.4905,0.5849,0.3211,0.3091,0.3618,0.2105,0.2031,0.2351,0.1413,0.1366,0.1568,0.5100,0.4901,0.5845,0.2799,0.2813,0.3075,0.3100,0.2984,0.3481,0.3437,0.3307,0.3883
internlm2_5-7b-hf,zh-yue,5-shot,0.4178,0.6720,0.6509,0.7092,0.5258,0.5097,0.5531,0.4217,0.4090,0.4428,0.3425,0.3322,0.3589,0.6720,0.6509,0.7092,0.3602,0.3658,0.3626,0.5090,0.4929,0.5359,0.5366,0.5196,0.5654
llama-3-8b-instruct-hf,en-yue,0-shot,0.2168,0.3659,0.2789,0.5782,0.1919,0.1459,0.3046,0.1106,0.0840,0.1759,0.0666,0.0506,0.1059,0.3656,0.2786,0.5778,0.1719,0.1348,0.2577,0.1837,0.1393,0.2932,0.2140,0.1625,0.3410
llama-3-8b-instruct-hf,en-yue,5-shot,0.3019,0.6432,0.6253,0.6809,0.3873,0.3768,0.4096,0.2523,0.2455,0.2668,0.1685,0.1640,0.1781,0.6430,0.6251,0.6807,0.2937,0.2977,0.2981,0.3727,0.3623,0.3948,0.4180,0.4063,0.4427
llama-3-8b-instruct-hf,zh-yue,0-shot,0.3314,0.2669,0.1680,0.7912,0.2113,0.1326,0.6349,0.1718,0.1076,0.5216,0.1399,0.0874,0.4298,0.2669,0.1680,0.7911,0.1466,0.0941,0.4039,0.2023,0.1264,0.6214,0.2127,0.1330,0.6505
llama-3-8b-instruct-hf,zh-yue,5-shot,0.4353,0.5605,0.4513,0.8526,0.4695,0.3783,0.7168,0.4018,0.3236,0.6160,0.3457,0.2786,0.5321,0.5604,0.4513,0.8526,0.3017,0.2517,0.4325,0.4573,0.3677,0.7050,0.4743,0.3814,0.7303
qwen2-7b-hf,en-yue,0-shot,0.2126,0.5091,0.4542,0.6454,0.2715,0.2427,0.3432,0.1581,0.1418,0.1987,0.0960,0.0863,0.1200,0.5085,0.4537,0.6446,0.2341,0.2170,0.2827,0.2662,0.2377,0.3369,0.3067,0.2738,0.3886
qwen2-7b-hf,en-yue,5-shot,0.3162,0.6862,0.6828,0.6982,0.4208,0.4190,0.4274,0.2776,0.2764,0.2817,0.1858,0.1850,0.1885,0.6858,0.6824,0.6978,0.3113,0.3234,0.3039,0.4069,0.4051,0.4137,0.4537,0.4516,0.4614
qwen2-7b-hf,zh-yue,0-shot,0.2516,0.4707,0.3924,0.7441,0.3317,0.2768,0.5222,0.2432,0.2029,0.3851,0.1840,0.1534,0.2937,0.4706,0.3923,0.7440,0.2553,0.2210,0.3818,0.3186,0.2652,0.5071,0.3441,0.2865,0.5476
qwen2-7b-hf,zh-yue,5-shot,0.5014,0.6988,0.6452,0.8472,0.5839,0.5397,0.7059,0.4991,0.4615,0.6037,0.4296,0.3975,0.5199,0.6986,0.6450,0.8471,0.3721,0.3586,0.4293,0.5720,0.5283,0.6949,0.5933,0.5479,0.7209
internlm2_5-20b-chat-turbomind,en-yue,0-shot,0.2112,0.5225,0.4405,0.7097,0.2999,0.2537,0.4056,0.1832,0.1554,0.2468,0.1148,0.0978,0.1538,0.5219,0.4401,0.7089,0.2381,0.2080,0.3074,0.2905,0.2453,0.3942,0.3292,0.2778,0.4471
internlm2_5-20b-chat-turbomind,en-yue,5-shot,0.3313,0.6835,0.6570,0.7415,0.4376,0.4218,0.4723,0.3000,0.2900,0.3222,0.2124,0.2057,0.2273,0.6831,0.6566,0.7409,0.3085,0.3092,0.3202,0.4222,0.4067,0.4564,0.4659,0.4486,0.5041
internlm2_5-20b-chat-turbomind,zh-yue,0-shot,0.2341,0.3663,0.2782,0.7907,0.2690,0.2042,0.5838,0.2034,0.1542,0.4450,0.1557,0.1179,0.3437,0.3662,0.2781,0.7904,0.1993,0.1558,0.4047,0.2608,0.1980,0.5729,0.2782,0.2113,0.6102
internlm2_5-20b-chat-turbomind,zh-yue,5-shot,0.4379,0.6531,0.5853,0.8560,0.5328,0.4781,0.6992,0.4449,0.3994,0.5849,0.3750,0.3369,0.4938,0.6529,0.5851,0.8557,0.3489,0.3257,0.4335,0.5243,0.4702,0.6914,0.5459,0.4894,0.7196
llama-3-70b-instruct-hf,en-yue,0-shot,0.2811,0.5861,0.5519,0.6645,0.3393,0.3197,0.3843,0.2168,0.2044,0.2458,0.1419,0.1338,0.1609,0.5858,0.5516,0.6641,0.2677,0.2623,0.2907,0.3315,0.3122,0.3763,0.3740,0.3522,0.4245
llama-3-70b-instruct-hf,en-yue,5-shot,0.3458,0.6176,0.5438,0.7224,0.3948,0.3475,0.4621,0.2705,0.2381,0.3165,0.1887,0.1663,0.2206,0.6172,0.5435,0.7220,0.2812,0.2572,0.3137,0.3799,0.3340,0.4453,0.4195,0.3689,0.4917
llama-3-70b-instruct-hf,zh-yue,0-shot,0.3777,0.2712,0.1722,0.7485,0.2180,0.1385,0.6038,0.1795,0.1142,0.4988,0.1500,0.0956,0.4191,0.2712,0.1722,0.7485,0.1486,0.0961,0.3816,0.2101,0.1331,0.5940,0.2199,0.1393,0.6204
llama-3-70b-instruct-hf,zh-yue,5-shot,0.6016,0.5936,0.4730,0.8703,0.5159,0.4111,0.7587,0.4528,0.3609,0.6682,0.3991,0.3181,0.5906,0.5936,0.4730,0.8702,0.3189,0.2631,0.4408,0.5035,0.4001,0.7474,0.5183,0.4119,0.7685
